ОПШТИНА_ГРАД,ВРСТА_ПРОМЕНЕ,16.02.2026 – 22.02.2026,23.02.2026 – 01.03.2026,02.03.2026 – 08.03.2026,УКУПНО
НОВИ САД - ГРАД,Брисање по основу отпуста из држављанства,3,0,1,4
НОВИ САД - ГРАД,Брисање по основу смрти лица,63,84,118,265
НОВИ САД - ГРАД,Брисање по службеној дужности,51,25,61,137
НОВИ САД - ГРАД,Исправка техничке грешке,2,0,1,3
НОВИ САД - ГРАД,Промена адресе пребивалишта,164,201,164,529
НОВИ САД - ГРАД,Промена личних података,23,44,34,101
НОВИ САД - ГРАД,Упис по основу пријаве пребивалишта,120,94,219,433
НОВИ САД - ГРАД,Упис по основу пријема у држављанство,0,2,1,3
НОВИ САД - ГРАД,Упис по основу стицања пунолетства,75,71,81,227
НОВО БРДО,Брисање по основу одјаве пребивалишта,0,2,1,3
НОВО БРДО,Брисање по основу смрти лица,3,0,0,3
НОВО БРДО,Упис по основу стицања пунолетства,10,0,1,11
ОЏАЦИ,Брисање по основу одјаве пребивалишта,2,10,16,28
ОЏАЦИ,Брисање по основу смрти лица,9,1,11,21
ОЏАЦИ,Промена адресе пребивалишта,0,0,7,7
ОЏАЦИ,Промена личних података,0,0,7,7
ОЏАЦИ,Упис по основу пријаве пребивалишта,0,0,29,29
ОЏАЦИ,Упис по основу стицања пунолетства,0,0,4,4
ОБИЛИЋ,Брисање по основу одјаве пребивалишта,0,2,2,4
ОБИЛИЋ,Брисање по основу смрти лица,7,0,1,8
ОБИЛИЋ,Упис по основу пријаве пребивалишта,0,0,1,1
ОПОВО,Брисање по основу одјаве пребивалишта,1,3,3,7
ОПОВО,Брисање по основу отпуста из држављанства,0,8,0,8
ОПОВО,Брисање по основу смрти лица,5,4,2,11
ОПОВО,Промена адресе пребивалишта,2,3,0,5
ОПОВО,Упис по основу пријаве пребивалишта,0,9,1,10
ОПОВО,Упис по основу стицања пунолетства,4,3,0,7
ОРАХОВАЦ,Брисање по основу одјаве пребивалишта,3,1,1,5
ОРАХОВАЦ,Брисање по основу смрти лица,0,0,1,1
ОРАХОВАЦ,Упис по основу стицања пунолетства,0,0,1,1
ОСЕЧИНА,Брисање по основу одјаве пребивалишта,2,3,2,7
ОСЕЧИНА,Брисање по основу смрти лица,3,1,9,13
ОСЕЧИНА,Промена адресе пребивалишта,0,1,0,1
ОСЕЧИНА,Промена личних података,1,1,0,2
ОСЕЧИНА,Упис по основу пријаве пребивалишта,6,2,1,9
ОСЕЧИНА,Упис по основу стицања пунолетства,2,3,1,6
ПАНЧЕВО - ГРАД,Брисање боравишта интерно расељеног лица,0,1,1,2
ПАНЧЕВО - ГРАД,Брисање по основу одјаве пребивалишта,18,33,33,84
ПАНЧЕВО - ГРАД,Брисање по основу смрти лица,28,32,34,94
ПАНЧЕВО - ГРАД,Брисање по службеној дужности,5,12,7,24
ПАНЧЕВО - ГРАД,Промена адресе пребивалишта,39,43,45,127
ПАНЧЕВО - ГРАД,Промена личних података,15,14,20,49
ПАНЧЕВО - ГРАД,Упис по основу пријаве пребивалишта,31,55,33,119
ПАНЧЕВО - ГРАД,Упис по основу пријема у држављанство,0,1,0,1
ПАНЧЕВО - ГРАД,Упис по основу стицања пунолетства,15,21,27,63
ПАРАЋИН,Брисање боравишта интерно расељеног лица,0,2,1,3
ПАРАЋИН,Брисање по основу одјаве пребивалишта,6,11,15,32
ПАРАЋИН,Брисање по основу отпуста из држављанства,0,1,0,1
ПАРАЋИН,Брисање по основу смрти лица,24,18,11,53
ПАРАЋИН,Брисање по службеној дужности,0,0,2,2
ПАРАЋИН,Промена адресе пребивалишта,67,162,99,328
ПАРАЋИН,Промена личних података,5,3,3,11
ПАРАЋИН,Упис по основу пријаве пребивалишта,17,10,16,43
ПАРАЋИН,Упис по основу пријема у држављанство,0,1,0,1
ПАРАЋИН,Упис по основу стицања пунолетства,8,16,15,39
ПЕЋ,Брисање по основу одјаве пребивалишта,1,7,4,12
ПЕЋИНЦИ,Брисање по основу одјаве пребивалишта,3,11,7,21
ПЕЋИНЦИ,Брисање по основу смрти лица,4,10,1,15
ПЕЋИНЦИ,Брисање по службеној дужности,2,0,0,2
ПЕЋИНЦИ,Промена адресе пребивалишта,2,7,6,15
ПЕЋИНЦИ,Промена личних података,1,2,1,4
ПЕЋИНЦИ,Упис по основу пријаве пребивалишта,7,10,10,27
ПЕЋИНЦИ,Упис по основу стицања пунолетства,2,5,2,9
ПЕТРОВАЦ НА МЛАВИ,Брисање по основу одјаве пребивалишта,6,9,7,22
ПЕТРОВАЦ НА МЛАВИ,Брисање по основу смрти лица,15,9,8,32
ПЕТРОВАЦ НА МЛАВИ,Брисање по службеној дужности,0,2,14,16
ПЕТРОВАЦ НА МЛАВИ,Потврда о упису у бирачки списак,0,1,0,1
ПЕТРОВАЦ НА МЛАВИ,Промена адресе пребивалишта,28,48,39,115
ПЕТРОВАЦ НА МЛАВИ,Промена личних података,1,1,3,5
ПЕТРОВАЦ НА МЛАВИ,Упис по основу пријаве пребивалишта,5,22,2,29
ПЕТРОВАЦ НА МЛАВИ,Упис по основу стицања пунолетства,6,12,6,24
ПИРОТ - ГРАД,Брисање по основу одјаве пребивалишта,3,4,12,19
ПИРОТ - ГРАД,Брисање по основу смрти лица,9,20,14,43
ПИРОТ - ГРАД,Исправка техничке грешке,0,0,1,1
ПИРОТ - ГРАД,Промена адресе пребивалишта,15,13,15,43
ПИРОТ - ГРАД,Промена личних података,2,2,2,6
ПИРОТ - ГРАД,Упис по основу пријаве пребивалишта,2,3,7,12
ПИРОТ - ГРАД,Упис по основу стицања пунолетства,8,6,11,25
ПЛАНДИШТЕ,Брисање по основу одјаве пребивалишта,2,1,4,7
